BR breath by breath,BR breath by breath outlier rejected average,VT breath by breath,VT breath by breath smoothed,VE breath by breath,VE breath by breath smoothed,Inhale:Exhale Ratio breath by breath,Inhale:Exhale Ratio breath by breath smoothed,t
8.0,9.1,174.0,174.0,14.0,14.0,,,7.0
7.6,9.1,140.0,157.0,11.0,12.5,,,14.0
6.9,8.8,230.0,181.3,16.0,13.7,,,23.0
7.5,7.7,437.0,245.2,33.0,18.5,,,33.0
6.2,7.3,278.0,251.8,17.0,18.2,,,41.0
6.7,7.0,195.0,242.3,13.0,17.3,,,50.0
6.4,6.7,228.0,240.3,15.0,17.0,,,59.0
7.2,6.8,172.0,231.8,12.0,16.4,,,68.0
7.0,6.7,127.0,220.1,9.0,15.6,,,76.0
7.8,7.0,208.0,218.9,16.0,15.6,,,84.0
7.5,7.3,256.0,222.3,19.0,15.9,,,92.0
10.4,7.5,33.0,206.5,3.0,14.8,,,98.0
10.1,8.5,190.0,205.2,19.0,15.2,,,104.0
6.9,8.5,483.0,225.1,33.0,16.4,,,113.0
6.8,8.2,158.0,220.6,11.0,16.1,,,121.0
25.9,9.2,289.0,224.9,75.0,19.8,,,123.0
23.4,13.5,45.0,214.3,11.0,19.2,,,127.0
17.4,15.9,64.0,205.9,11.0,18.8,,,129.0
14.9,18.6,257.0,208.6,38.0,19.8,,,133.0
10.8,18.6,431.0,219.8,47.0,21.2,,,140.0
13.4,15.2,139.0,215.9,19.0,21.0,,,143.0
14.3,14.2,346.0,221.8,49.0,22.3,,,147.0
11.5,13.0,445.0,231.5,51.0,23.6,,,153.0
14.7,13.0,328.0,235.5,48.0,24.6,,,157.0
12.2,13.3,609.0,250.5,74.0,26.6,,,162.0
15.3,13.7,287.0,251.9,44.0,27.2,,,165.0
11.9,12.9,536.0,262.4,64.0,28.6,,,171.0
10.6,12.9,375.0,266.4,40.0,29.0,,,176.0
16.1,13.1,440.0,272.4,71.0,30.4,,,180.0
16.3,14.4,352.0,275.1,57.0,31.3,,,184.0
17.4,14.8,426.0,279.9,74.0,32.7,,,187.0
15.0,15.8,437.0,284.8,66.0,33.8,,,191.0
18.3,16.6,394.0,288.2,72.0,34.9,,,194.0
16.5,16.7,515.0,294.8,85.0,36.4,,,198.0
15.3,16.4,358.0,296.6,55.0,36.9,,,202.0
14.7,15.6,493.0,302.1,73.0,37.9,,,206.0
17.4,16.4,443.0,305.9,77.0,39.0,,,209.0
14.7,15.5,521.0,311.6,77.0,40.0,,,213.0
15.5,15.2,505.0,316.5,78.0,40.9,,,218.0
17.0,15.7,466.0,320.2,79.0,41.9,,,221.0
16.3,16.3,444.0,323.3,72.0,42.6,,,225.0
26.3,16.3,255.0,321.6,67.0,43.2,,,227.0
17.4,16.9,442.0,324.4,77.0,44.0,,,230.0
18.3,17.6,398.0,326.1,73.0,44.7,,,233.0
16.9,17.5,498.0,329.9,84.0,45.5,,,237.0
18.3,18.0,432.0,332.2,79.0,46.3,,,240.0
15.5,17.5,509.0,335.9,79.0,47.0,,,244.0
