Time,BR,VT,VE,HR,External Heart Rate,VT calibrated,VT calibrated inst,VE calibrated,VE calibrated inst,VE 15 sec sum
0.0,,,,,,,,,,
1.0,9.428,430.1,31.35,85.0,,,,,,
2.0,9.391,429.1,31.32,84.0,,,,,,
3.0,9.354,428.0,31.29,81.0,,,,,,
4.0,9.317,427.0,31.27,79.0,,,,,,
5.0,9.28,426.0,31.24,79.0,,,,,,
6.0,9.243,424.9,31.21,81.0,,,,,,
7.0,9.206,423.9,31.18,86.0,,,,,,
8.0,9.169,422.8,31.15,87.0,,,,,,
9.0,9.135,421.9,31.12,86.0,,,,,,
10.0,9.101,420.9,31.1,85.0,,,,,,
11.0,9.066,420.0,31.07,81.0,,,,,,
12.0,9.032,419.0,31.04,81.0,,,,,,
13.0,8.998,418.0,31.02,84.0,,,,,,
14.0,8.964,417.1,30.99,85.0,,,,,,
15.0,8.93,416.1,30.96,86.0,,,,,,
16.0,8.896,415.2,30.94,84.0,,,,,,
17.0,8.864,414.3,30.91,81.0,,,,,,
18.0,8.833,413.4,30.89,78.0,,,,,,
19.0,8.803,412.5,30.86,75.0,,,,,,
20.0,8.772,411.7,30.84,74.0,,,,,,
21.0,8.741,410.8,30.82,74.0,,,,,,
22.0,8.711,410.0,30.79,75.0,,,,,,
23.0,8.68,409.1,30.77,79.0,,,,,,
24.0,8.65,408.2,30.75,81.0,,,,,,
25.0,8.619,407.4,30.72,82.0,,,,,,
26.0,8.589,406.6,30.7,79.0,,,,,,
27.0,8.562,405.8,30.68,76.0,,,,,,
28.0,8.534,405.0,30.65,75.0,,,,,,
29.0,8.506,404.2,30.63,74.0,,,,,,
30.0,8.478,403.4,30.61,74.0,,,,,,
31.0,8.45,402.6,30.59,74.0,,,,,,
32.0,8.422,401.8,30.57,78.0,,,,,,
33.0,8.394,401.1,30.55,80.0,,,,,,
34.0,8.366,400.3,30.52,84.0,,,,,,
35.0,8.338,399.5,30.5,84.0,,,,,,
36.0,8.309,398.7,30.48,81.0,,,,,,
37.0,8.275,397.7,30.45,78.0,,,,,,
38.0,8.241,396.8,30.43,76.0,,,,,,
39.0,8.207,395.8,30.4,74.0,,,,,,
40.0,8.173,394.9,30.37,75.0,,,,,,
41.0,8.14,393.9,30.35,77.0,,,,,,
42.0,8.106,393.0,30.32,83.0,,,,,,
43.0,8.072,392.0,30.3,89.0,,,,,,
44.0,8.038,391.1,30.27,90.0,,,,,,
45.0,8.01,390.3,30.25,85.0,,,,,,
46.0,7.983,389.5,30.23,83.0,,,,,,
47.0,7.956,388.7,30.2,81.0,,,,,,
48.0,7.929,388.0,30.18,78.0,,,,,,
49.0,7.902,387.2,30.16,76.0,,,,,,
50.0,7.874,386.5,30.14,74.0,,,,,,
51.0,7.847,385.7,30.12,73.0,,,,,,
52.0,7.82,384.9,30.1,73.0,,,,,,
53.0,7.793,384.2,30.08,77.0,,,,,,
54.0,7.766,383.4,30.06,80.0,,,,,,
55.0,7.738,382.6,30.04,82.0,,,,,,
56.0,7.71,381.8,30.01,81.0,,,,,,
57.0,7.682,381.1,29.99,78.0,,,,,,
58.0,7.654,380.3,29.97,76.0,,,,,,
59.0,7.626,379.5,29.95,75.0,,,,,,
60.0,7.599,378.7,29.93,74.0,,,,,,
61.0,7.571,377.9,29.9,79.0,,,,,,
62.0,7.543,377.1,29.88,84.0,,,,,,
63.0,7.515,376.4,29.86,85.0,,,,,,
64.0,7.487,375.6,29.84,85.0,,,,,,
65.0,7.461,374.7,29.82,81.0,,,,,,
66.0,7.44,373.8,29.79,78.0,,,,,,
67.0,7.42,372.9,29.77,76.0,,,,,,
68.0,7.399,372.0,29.74,74.0,,,,,,
69.0,7.379,371.1,29.72,74.0,,,,,,
70.0,7.358,370.2,29.69,75.0,,,,,,
71.0,7.337,369.3,29.66,77.0,,,,,,
72.0,7.317,368.4,29.64,82.0,,,,,,
73.0,7.296,367.5,29.61,87.0,,,,,,
74.0,7.287,366.6,29.59,87.0,,,,,,
75.0,7.288,365.8,29.57,86.0,,,,,,
76.0,7.288,365.0,29.55,85.0,,,,,,
77.0,7.289,364.2,29.52,84.0,,,,,,
78.0,7.29,363.4,29.5,83.0,,,,,,
79.0,7.29,362.5,29.48,80.0,,,,,,
80.0,7.291,361.7,29.46,80.0,,,,,,
81.0,7.292,360.9,29.43,84.0,,,,,,
82.0,7.292,360.1,29.41,86.0,,,,,,
83.0,7.293,359.3,29.39,86.0,,,,,,
84.0,7.312,358.4,29.36,84.0,,,,,,
85.0,7.338,357.5,29.34,80.0,,,,,,
86.0,7.364,356.6,29.31,78.0,,,,,,
87.0,7.39,355.7,29.29,76.0,,,,,,
88.0,7.416,354.8,29.26,75.0,,,,,,
89.0,7.442,353.8,29.24,77.0,,,,,,
90.0,7.468,352.9,29.21,82.0,,,,,,
91.0,7.494,352.0,29.19,87.0,,,,,,
92.0,7.52,351.1,29.16,86.0,,,,,,
93.0,7.557,350.1,29.13,82.0,,,,,,
94.0,7.595,349.0,29.1,79.0,,,,,,
95.0,7.632,348.0,29.07,77.0,,,,,,
96.0,7.67,346.9,29.05,76.0,,,,,,
97.0,7.707,345.9,29.02,77.0,,,,,,
98.0,7.745,344.8,28.99,80.0,,,,,,
99.0,7.782,343.8,28.96,85.0,,,,,,
100.0,7.815,342.9,28.93,89.0,,,,,,
101.0,7.839,342.1,28.91,85.0,,,,,,
102.0,7.864,341.3,28.89,85.0,,,,,,
103.0,7.888,340.5,28.87,82.0,,,,,,
104.0,7.912,339.7,28.85,78.0,,,,,,
105.0,7.936,338.9,28.82,79.0,,,,,,
106.0,7.961,338.1,28.8,82.0,,,,,,
107.0,7.985,337.4,28.78,84.0,,,,,,
108.0,8.009,336.6,28.76,89.0,,,,,,
109.0,8.034,335.8,28.74,90.0,,,,,,
110.0,8.059,335.0,28.71,89.0,,,,,,
111.0,8.087,334.1,28.69,88.0,,,,,,
112.0,8.116,333.3,28.67,87.0,,,,,,
113.0,8.145,332.4,28.64,86.0,,,,,,
114.0,8.174,331.6,28.62,83.0,,,,,,
115.0,8.202,330.7,28.6,81.0,,,,,,
116.0,8.231,329.8,28.57,81.0,,,,,,
117.0,8.26,329.0,28.55,84.0,,,,,,
118.0,8.289,328.1,28.52,86.0,,,,,,
119.0,8.317,327.3,28.5,89.0,,,,,,
120.0,8.375,325.5,28.45,88.0,,,,,,
121.0,8.435,323.7,28.4,85.0,,,,,,
122.0,8.495,321.8,28.35,83.0,,,,,,
123.0,8.555,320.0,28.3,82.0,,,,,,
124.0,8.603,319.0,28.32,83.0,,,,,,
125.0,8.644,318.7,28.38,87.0,,,,,,
126.0,8.684,318.4,28.45,91.0,,,,,,
127.0,8.724,318.1,28.52,94.0,,,,,,
128.0,8.765,317.8,28.59,95.0,,,,,,
129.0,8.807,316.5,28.55,98.0,,,,,,
130.0,8.853,312.8,28.27,100.0,,,,,,
131.0,8.899,309.1,27.98,102.0,,,,,,
132.0,8.945,305.3,27.7,104.0,,,,,,
133.0,8.992,301.6,27.41,106.0,,,,,,
134.0,9.049,300.9,27.51,107.0,,,,,,
135.0,9.106,300.3,27.63,108.0,,,,,,
136.0,9.164,299.7,27.74,109.0,,,,,,
137.0,9.221,299.1,27.86,110.0,,,,,,
138.0,9.255,298.8,27.9,110.0,,,,,,
139.0,9.286,298.5,27.93,111.0,,,,,,
140.0,9.318,298.1,27.97,111.0,,,,,,
141.0,9.349,297.8,28.01,111.0,,,,,,
142.0,9.38,297.5,28.04,112.0,,,,,,
143.0,9.412,297.2,28.08,113.0,,,,,,
144.0,9.443,296.9,28.11,115.0,,,,,,
145.0,9.474,296.6,28.15,115.0,,,,,,
146.0,9.506,296.2,28.18,115.0,,,,,,
147.0,9.547,295.9,28.27,109.0,,,,,,
148.0,9.597,295.7,28.39,106.0,,,,,,
149.0,9.646,295.4,28.51,103.0,,,,,,
150.0,9.696,295.1,28.63,101.0,,,,,,
151.0,9.746,294.8,28.75,102.0,,,,,,
152.0,9.796,294.5,28.87,104.0,,,,,,
153.0,9.844,294.3,28.93,105.0,,,,,,
154.0,9.893,294.0,28.99,105.0,,,,,,
155.0,9.941,293.8,29.05,104.0,,,,,,
156.0,9.989,293.6,29.11,103.0,,,,,,
157.0,10.04,293.3,29.17,101.0,,,,,,
158.0,10.09,293.1,29.22,101.0,,,,,,
159.0,10.16,292.0,29.22,103.0,,,,,,
160.0,10.23,290.8,29.2,104.0,,,,,,
161.0,10.3,289.5,29.17,105.0,,,,,,
162.0,10.37,288.3,29.15,106.0,,,,,,
163.0,10.45,287.0,29.13,106.0,,,,,,
164.0,10.5,287.4,29.23,103.0,,,,,,
165.0,10.55,287.7,29.33,101.0,,,,,,
166.0,10.61,288.0,29.42,98.0,,,,,,
167.0,10.66,288.4,29.52,97.0,,,,,,
168.0,10.71,288.7,29.62,96.0,,,,,,
169.0,10.76,289.1,29.7,98.0,,,,,,
170.0,10.79,289.7,29.74,99.0,,,,,,
171.0,10.82,290.4,29.78,100.0,,,,,,
172.0,10.85,291.1,29.81,102.0,,,,,,
173.0,10.89,291.8,29.85,103.0,,,,,,
174.0,10.92,292.5,29.88,104.0,,,,,,
175.0,10.95,293.2,29.92,104.0,,,,,,
176.0,10.98,293.9,29.95,104.0,,,,,,
177.0,11.0,293.4,29.94,102.0,,,,,,
178.0,11.01,292.4,29.9,98.0,,,,,,
179.0,11.03,291.3,29.85,93.0,,,,,,
180.0,11.05,290.2,29.81,93.0,,,,,,
181.0,11.06,289.1,29.77,94.0,,,,,,
182.0,11.08,288.1,29.72,96.0,,,,,,
183.0,11.09,287.7,29.83,97.0,,,,,,
184.0,11.08,288.2,30.14,99.0,,,,,,
185.0,11.08,288.7,30.44,99.0,,,,,,
186.0,11.08,289.3,30.74,99.0,,,,,,
187.0,11.07,289.8,31.04,99.0,,,,,,
188.0,11.08,286.4,30.99,99.0,,,,,,
189.0,11.09,280.4,30.68,98.0,,,,,,
190.0,11.11,277.3,30.62,98.0,,,,,,
191.0,11.15,276.9,30.78,98.0,,,,,,
192.0,11.19,276.6,30.94,98.0,,,,,,
193.0,11.22,276.2,31.1,99.0,,,,,,
194.0,11.26,275.8,31.27,101.0,,,,,,
195.0,11.29,276.8,31.46,101.0,,,,,,
196.0,11.32,278.8,31.66,99.0,,,,,,
197.0,11.36,280.7,31.87,98.0,,,,,,
198.0,11.39,282.7,32.08,95.0,,,,,,
199.0,11.42,284.7,32.29,96.0,,,,,,
200.0,11.45,286.6,32.5,96.0,,,,,,
201.0,11.49,287.9,32.59,95.0,,,,,,
202.0,11.53,286.2,32.17,94.0,,,,,,
203.0,11.57,284.5,31.75,92.0,,,,,,
204.0,11.61,282.8,31.33,91.0,,,,,,
205.0,11.66,281.1,30.92,91.0,,,,,,
206.0,11.7,280.3,30.62,94.0,,,,,,
207.0,11.73,282.0,30.72,97.0,,,,,,
208.0,11.77,283.7,30.81,97.0,,,,,,
209.0,11.8,285.4,30.91,94.0,,,,,,
210.0,11.84,287.1,31.0,93.0,,,,,,
211.0,11.87,288.1,31.03,92.0,,,,,,
212.0,11.9,287.4,30.9,92.0,,,,,,
213.0,11.93,286.6,30.76,90.0,,,,,,
214.0,11.95,285.8,30.63,90.0,,,,,,
215.0,11.97,286.1,30.62,92.0,,,,,,
216.0,11.98,287.2,30.73,94.0,,,,,,
217.0,11.98,288.4,30.83,96.0,,,,,,
218.0,11.99,289.6,30.94,97.0,,,,,,
219.0,11.99,290.7,31.05,99.0,,,,,,
220.0,12.0,289.9,31.05,99.0,,,,,,
221.0,12.01,288.6,31.02,97.0,,,,,,
222.0,12.02,287.3,31.0,98.0,,,,,,
223.0,12.03,286.0,30.98,99.0,,,,,,
224.0,12.04,284.7,30.96,101.0,,,,,,
225.0,12.05,283.3,30.96,99.0,,,,,,
226.0,12.06,282.0,30.95,98.0,,,,,,
227.0,12.07,280.7,30.94,97.0,,,,,,
228.0,12.07,279.5,30.94,97.0,,,,,,
229.0,12.09,280.3,31.07,97.0,,,,,,
230.0,12.11,281.1,31.2,98.0,,,,,,
231.0,12.13,281.9,31.33,99.0,,,,,,
232.0,12.14,282.7,31.46,102.0,,,,,,
233.0,12.16,283.5,31.59,105.0,,,,,,
234.0,12.18,284.3,31.71,104.0,,,,,,
235.0,12.2,285.1,31.84,100.0,,,,,,
236.0,12.22,285.2,31.9,97.0,,,,,,
237.0,12.24,285.0,31.95,93.0,,,,,,
238.0,12.26,284.8,32.0,90.0,,,,,,
239.0,12.28,284.9,32.07,91.0,,,,,,
240.0,12.29,285.7,32.19,94.0,,,,,,
241.0,12.29,286.5,32.31,98.0,,,,,,
242.0,12.29,287.3,32.43,102.0,,,,,,
243.0,12.3,288.1,32.56,104.0,,,,,,
244.0,12.3,288.9,32.68,105.0,,,,,,
245.0,12.3,289.3,32.76,106.0,,,,,,
246.0,12.29,288.6,32.74,106.0,,,,,,
247.0,12.27,287.8,32.73,104.0,,,,,,
248.0,12.26,287.1,32.71,101.0,,,,,,
249.0,12.24,286.4,32.69,100.0,,,,,,
250.0,12.23,285.6,32.68,101.0,,,,,,
251.0,12.22,284.9,32.66,102.0,,,,,,
252.0,12.2,284.1,32.64,103.0,,,,,,
