BR breath by breath,BR breath by breath outlier rejected average,VT breath by breath,VT breath by breath smoothed,VE breath by breath,VE breath by breath smoothed,Inhale:Exhale Ratio breath by breath,Inhale:Exhale Ratio breath by breath smoothed,t
10.9,11.2,216.0,216.0,23.0,23.0,,,0.0
9.1,10.3,629.0,422.5,58.0,40.5,,,8.0
6.4,9.7,319.0,388.0,21.0,34.0,,,16.0
6.3,8.8,327.0,372.8,21.0,30.8,,,26.0
6.0,7.3,338.0,365.8,20.0,28.6,,,36.0
6.9,6.6,617.0,407.7,43.0,31.0,,,44.0
5.9,6.3,289.0,390.7,17.0,29.0,,,55.0
6.0,6.1,294.0,378.6,18.0,27.6,,,65.0
6.8,6.3,385.0,379.3,26.0,27.4,,,73.0
6.2,6.3,303.0,371.7,19.0,26.6,,,83.0
6.7,6.3,314.0,366.5,21.0,26.1,,,92.0
7.9,6.6,594.0,385.4,47.0,27.8,,,100.0
5.9,6.6,354.0,383.0,21.0,27.3,,,110.0
6.5,6.5,257.0,374.0,17.0,26.6,,,119.0
14.4,7.1,624.0,390.7,90.0,30.8,,,123.0
10.9,8.5,190.0,378.1,21.0,30.2,,,129.0
13.9,10.4,242.0,370.1,34.0,30.4,,,133.0
14.6,13.1,178.0,359.4,26.0,30.2,,,137.0
8.1,13.1,461.0,364.8,37.0,30.5,,,146.0
8.0,11.0,508.0,372.0,41.0,31.0,,,152.0
9.8,10.6,84.0,358.2,8.0,30.0,,,158.0
12.8,10.2,285.0,354.9,37.0,30.3,,,163.0
10.0,9.3,232.0,349.6,23.0,30.0,,,169.0
8.0,9.3,361.0,350.0,29.0,29.9,,,176.0
9.6,9.8,114.0,340.6,11.0,29.2,,,183.0
12.4,10.7,319.0,339.8,40.0,29.6,,,187.0
33.3,10.7,33.0,328.4,11.0,28.9,,,189.0
11.3,11.1,105.0,320.4,12.0,28.3,,,194.0
11.6,11.8,306.0,319.9,36.0,28.6,,,201.0
9.7,11.8,179.0,315.2,17.0,28.2,,,206.0
12.8,11.9,286.0,314.3,37.0,28.5,,,211.0
14.6,11.9,147.0,309.1,21.0,28.2,,,214.0
14.3,12.9,246.0,307.2,35.0,28.4,,,219.0
13.0,13.4,238.0,305.1,31.0,28.5,,,223.0
13.9,13.7,290.0,304.7,40.0,28.8,,,228.0
9.5,13.7,574.0,312.2,54.0,29.5,,,235.0
13.0,13.3,108.0,306.6,14.0,29.1,,,239.0
9.9,12.0,352.0,307.8,35.0,29.3,,,245.0
6.2,10.8,540.0,313.8,34.0,29.4,,,254.0
11.1,10.2,103.0,308.5,11.0,28.9,,,260.0
16.7,11.4,390.0,310.5,65.0,29.8,,,263.0
12.6,11.2,219.0,308.3,28.0,29.8,,,268.0
15.2,13.0,299.0,308.1,45.0,30.1,,,272.0
8.9,13.0,634.0,315.5,57.0,30.7,,,280.0
7.4,12.2,373.0,316.8,28.0,30.7,,,287.0
7.8,9.8,444.0,319.6,35.0,30.8,,,295.0
12.1,9.6,156.0,316.1,19.0,30.5,,,300.0
11.9,9.5,342.0,318.8,41.0,30.9,,,304.0
11.5,10.4,293.0,311.6,34.0,30.4,,,310.0
12.1,11.8,332.0,312.0,40.0,30.6,,,315.0
13.9,12.0,259.0,310.8,36.0,30.9,,,319.0
15.8,12.6,266.0,309.9,42.0,31.1,,,323.0
11.9,12.6,378.0,310.9,45.0,31.6,,,328.0
16.7,13.9,146.0,307.6,24.0,31.5,,,331.0
13.0,14.2,252.0,305.9,33.0,31.7,,,336.0
11.2,13.6,500.0,309.7,56.0,32.2,,,342.0
11.7,12.2,320.0,303.9,38.0,32.1,,,347.0
15.2,13.3,272.0,303.3,41.0,32.3,,,351.0
14.3,13.0,245.0,302.4,35.0,32.6,,,355.0
20.3,13.7,185.0,300.2,37.0,32.7,,,358.0
13.0,14.2,385.0,301.8,50.0,33.0,,,362.0
13.8,14.4,206.0,300.1,28.0,33.2,,,367.0
16.9,15.0,312.0,300.4,53.0,33.6,,,370.0
17.2,16.0,188.0,296.8,32.0,33.7,,,374.0
22.7,16.0,183.0,294.8,42.0,33.8,,,376.0
22.4,18.8,225.0,293.5,50.0,34.1,,,379.0
16.9,18.8,352.0,294.5,59.0,34.5,,,383.0
17.9,19.2,203.0,292.8,36.0,34.8,,,386.0
18.1,19.4,266.0,292.4,48.0,35.1,,,389.0
19.7,18.6,190.0,290.3,38.0,35.3,,,393.0
13.3,17.6,567.0,294.9,75.0,36.0,,,398.0
