BR breath by breath,BR breath by breath outlier rejected average,VT breath by breath,VT breath by breath smoothed,VE breath by breath,VE breath by breath smoothed,Inhale:Exhale Ratio breath by breath,Inhale:Exhale Ratio breath by breath smoothed,t
14.4,18.3,84.0,84.0,12.0,12.0,,,1.0
19.2,18.3,74.0,79.0,14.0,13.0,,,4.0
22.4,18.3,94.0,84.0,21.0,15.7,,,6.0
23.1,20.1,164.0,104.0,38.0,21.2,,,9.0
18.8,20.1,98.0,102.8,18.0,20.6,,,12.0
9.9,20.1,179.0,115.5,18.0,20.2,,,18.0
23.8,21.4,87.0,111.4,21.0,20.3,,,21.0
16.1,19.3,124.0,113.0,20.0,20.2,,,24.0
13.5,16.1,52.0,106.2,7.0,18.8,,,29.0
23.1,17.6,67.0,102.3,15.0,18.4,,,31.0
19.0,19.4,110.0,103.0,21.0,18.6,,,34.0
20.8,18.6,177.0,109.2,37.0,20.2,,,38.0
19.2,19.7,182.0,114.8,35.0,21.3,,,40.0
19.7,19.9,101.0,113.8,20.0,21.2,,,44.0
22.1,19.9,97.0,112.7,21.0,21.2,,,46.0
23.4,20.9,94.0,111.5,22.0,21.2,,,49.0
21.1,21.0,81.0,109.7,17.0,21.0,,,52.0
21.1,21.4,69.0,107.4,15.0,20.7,,,55.0
20.3,21.4,69.0,105.4,14.0,20.3,,,58.0
22.4,21.5,74.0,103.8,17.0,20.2,,,60.0
21.4,21.2,69.0,102.2,15.0,19.9,,,63.0
34.9,21.6,44.0,99.5,15.0,19.7,,,65.0
34.9,26.2,304.0,108.4,106.0,23.4,,,68.0
14.4,26.2,82.0,107.3,12.0,23.0,,,70.0
16.5,24.3,89.0,106.6,15.0,22.6,,,74.0
16.7,22.7,54.0,104.6,9.0,22.1,,,78.0
18.8,17.3,74.0,103.4,14.0,21.8,,,81.0
16.9,16.7,79.0,102.6,13.0,21.5,,,85.0
17.0,16.9,74.0,101.6,13.0,21.2,,,88.0
18.5,17.5,62.0,100.3,11.0,20.9,,,92.0
21.4,18.1,60.0,99.0,13.0,20.6,,,94.0
21.7,19.0,72.0,98.1,16.0,20.5,,,97.0
51.7,20.6,110.0,98.5,57.0,21.6,,,101.0
16.1,20.6,69.0,97.6,11.0,21.3,,,105.0
19.0,20.7,62.0,96.6,12.0,21.0,,,108.0
19.5,20.1,57.0,95.5,11.0,20.7,,,111.0
21.4,20.0,64.0,94.6,14.0,20.5,,,114.0
22.1,20.0,69.0,94.0,15.0,20.4,,,116.0
21.4,20.8,99.0,94.1,21.0,20.4,,,119.0
25.9,21.6,87.0,93.9,23.0,20.5,,,121.0
24.6,22.7,205.0,96.6,50.0,21.2,,,125.0
22.1,22.9,203.0,99.2,45.0,21.8,,,127.0
21.4,22.7,200.0,101.5,43.0,22.3,,,129.0
26.8,24.2,104.0,101.6,28.0,22.4,,,131.0
20.5,22.7,237.0,104.6,49.0,23.0,,,135.0
