BR breath by breath,BR breath by breath outlier rejected average,VT breath by breath,VT breath by breath smoothed,VE breath by breath,VE breath by breath smoothed,Inhale:Exhale Ratio breath by breath,Inhale:Exhale Ratio breath by breath smoothed,t
19.5,20.4,70.0,70.0,14.0,14.0,,,0.0
14.0,19.8,143.0,106.5,20.0,17.0,,,5.0
23.1,19.8,88.0,100.3,20.0,18.0,,,11.0
20.5,19.7,93.0,98.5,19.0,18.2,,,14.0
20.0,20.0,105.0,99.8,21.0,18.8,,,16.0
22.4,21.0,162.0,110.2,36.0,21.7,,,19.0
20.3,21.1,177.0,119.7,36.0,23.7,,,22.0
22.1,21.0,97.0,116.9,21.0,23.4,,,25.0
20.0,20.8,166.0,122.3,33.0,24.4,,,28.0
21.7,21.4,125.0,122.6,27.0,24.7,,,31.0
22.4,21.4,105.0,121.0,24.0,24.6,,,33.0
21.7,21.8,112.0,120.2,24.0,24.6,,,36.0
20.8,21.4,128.0,120.8,27.0,24.8,,,39.0
20.5,21.4,123.0,121.0,25.0,24.8,,,42.0
21.1,21.2,125.0,121.3,26.0,24.9,,,45.0
20.5,20.8,135.0,122.1,28.0,25.1,,,48.0
22.4,20.8,145.0,123.5,32.0,25.5,,,51.0
22.7,21.4,125.0,123.6,28.0,25.6,,,53.0
20.5,21.4,128.0,123.8,26.0,25.6,,,56.0
19.5,21.2,125.0,123.8,24.0,25.6,,,59.0
20.8,21.3,135.0,124.4,28.0,25.7,,,62.0
18.3,20.3,145.0,125.3,27.0,25.7,,,65.0
20.8,20.3,130.0,125.5,27.0,25.8,,,68.0
21.4,20.4,138.0,126.0,30.0,26.0,,,71.0
21.1,20.9,135.0,126.4,29.0,26.1,,,74.0
19.0,20.3,171.0,128.1,32.0,26.3,,,77.0
16.3,20.3,154.0,129.1,25.0,26.3,,,81.0
18.8,19.6,120.0,128.8,23.0,26.1,,,84.0
19.5,19.1,101.0,127.8,20.0,25.9,,,87.0
20.3,19.1,92.0,126.6,19.0,25.7,,,90.0
19.7,19.3,103.0,125.8,20.0,25.5,,,93.0
20.3,19.8,153.0,126.7,31.0,25.7,,,96.0
19.5,19.8,120.0,126.5,23.0,25.6,,,99.0
19.7,19.9,165.0,127.6,33.0,25.8,,,102.0
21.4,19.9,145.0,128.1,31.0,26.0,,,105.0
20.5,20.2,100.0,127.3,21.0,25.8,,,108.0
20.8,20.4,111.0,126.9,23.0,25.8,,,111.0
21.4,20.9,98.0,126.1,21.0,25.6,,,114.0
19.7,20.9,117.0,125.9,23.0,25.6,,,116.0
20.8,20.7,109.0,125.5,23.0,25.5,,,119.0
20.3,20.6,55.0,123.8,11.0,25.1,,,123.0
78.9,20.8,73.0,122.5,58.0,25.9,,,126.0
75.0,38.7,70.0,121.3,53.0,26.6,,,127.0
12.9,38.7,71.0,120.2,9.0,26.2,,,131.0
11.2,36.1,76.0,119.2,9.0,25.8,,,132.0
15.5,34.5,214.0,121.3,33.0,25.9,,,136.0
18.8,15.7,209.0,123.1,39.0,26.2,,,139.0
17.2,15.2,239.0,125.5,41.0,26.5,,,143.0
17.9,16.9,186.0,126.8,33.0,26.7,,,146.0
19.5,17.9,193.0,128.1,38.0,26.9,,,149.0
18.3,18.3,200.0,129.5,37.0,27.1,,,152.0
18.8,18.3,181.0,130.5,34.0,27.2,,,155.0
19.7,18.8,196.0,131.7,39.0,27.4,,,158.0
18.5,18.9,225.0,133.5,42.0,27.7,,,162.0
19.0,18.8,220.0,135.0,42.0,28.0,,,165.0
18.1,18.8,263.0,137.3,48.0,28.3,,,168.0
19.2,18.9,243.0,139.2,47.0,28.6,,,171.0
18.1,18.5,253.0,141.1,46.0,28.9,,,174.0
18.5,18.5,260.0,143.2,48.0,29.3,,,178.0
18.5,18.4,242.0,144.8,45.0,29.5,,,181.0
21.1,18.8,216.0,146.0,46.0,29.8,,,184.0
14.4,18.4,374.0,149.6,54.0,30.2,,,188.0
17.4,18.2,335.0,152.6,58.0,30.6,,,191.0
18.8,18.2,324.0,155.3,61.0,31.1,,,195.0
19.0,18.4,290.0,157.3,55.0,31.5,,,198.0
18.5,18.2,291.0,159.4,54.0,31.8,,,201.0
18.5,18.6,281.0,161.2,52.0,32.1,,,204.0
18.1,18.6,329.0,163.6,59.0,32.5,,,208.0
18.5,18.5,324.0,166.0,60.0,32.9,,,211.0
17.9,18.4,312.0,168.1,56.0,33.2,,,214.0
18.5,18.4,352.0,170.6,65.0,33.7,,,218.0
18.8,18.4,362.0,173.3,68.0,34.2,,,221.0
18.5,18.5,387.0,176.2,72.0,34.7,,,224.0
18.3,18.4,333.0,178.4,61.0,35.0,,,227.0
19.2,18.6,363.0,180.8,70.0,35.5,,,230.0
17.2,18.5,366.0,183.2,63.0,35.9,,,234.0
19.2,18.7,364.0,185.6,70.0,36.3,,,237.0
18.5,18.7,359.0,187.8,66.0,36.7,,,240.0
18.3,18.7,362.0,190.0,66.0,37.1,,,244.0
16.5,18.0,373.0,192.3,61.0,37.4,,,247.0
18.5,18.4,355.0,194.3,66.0,37.7,,,250.0
16.9,17.9,377.0,196.5,64.0,38.0,,,254.0
18.3,17.8,268.0,197.4,49.0,38.2,,,257.0
18.1,17.7,334.0,199.0,60.0,38.4,,,260.0
14.7,17.7,361.0,200.9,53.0,38.6,,,264.0
18.3,17.7,350.0,202.7,64.0,38.9,,,268.0
18.1,18.1,366.0,204.6,66.0,39.2,,,271.0
18.1,18.1,362.0,206.3,65.0,39.5,,,274.0
18.3,18.1,336.0,207.8,61.0,39.7,,,278.0
18.8,18.2,370.0,209.6,69.0,40.1,,,281.0
19.5,18.4,285.0,210.4,56.0,40.2,,,284.0
17.9,18.4,368.0,212.1,66.0,40.5,,,288.0
17.4,18.3,366.0,213.8,64.0,40.8,,,291.0
18.8,18.5,376.0,215.5,71.0,41.1,,,294.0
18.5,18.4,347.0,216.9,64.0,41.3,,,297.0
19.7,18.4,278.0,219.1,55.0,41.8,,,301.0
17.9,18.4,377.0,220.7,67.0,42.0,,,304.0
18.3,18.5,377.0,223.2,69.0,42.5,,,307.0
18.8,18.5,332.0,224.3,62.0,42.7,,,310.0
18.1,18.4,344.0,226.9,62.0,43.2,,,313.0
