t,Rf,VT,VE,IV,VO2,VCO2,RQ,O2exp,CO2exp,VEVO2,VEVCO2,VO2/kg,METS,FeO2,FeCO2,FetO2,FetCO2,FiO2,FiCO2,PeO2,PeCO2,PetO2,PetCO2,Power,PWR,RPM,Phase,Amb. Temp.,RH Amb,Analyz. Press.,PB,EEkc,EEh,EEm,EEtot,EEkg,PRO,Fat,CHO,PRO%,FAT%,CHO%,npRQ,GPS Dist.,Ti,Te,Ttot,Ti/Ttot,VD/VT e,LogVE,t Rel,mark Speed,mark Distance,Phase time,VO2/kg%Pred,BR,VT/Ti,PaCO2_e,RealPower
0.0,8.37,1.628,13.623,1380,521.5690267,513.0554834,0.98,264.6,74.2,25.0,25.4,6.66,1.9,16.25,4.56,15.21,5.5,20.82,0.05,117,33,110,40,,,,NONE,19.5,42,654,768,3742,155.9,2.6,0,47.8,0,208,3533,0,5.6,94.4,0.98,0,4.11,3.06,7.17,0.57,0.16,1.134,0,0,0,,15,93.6,0.4,41.19,
6.0,9.97,1.004,10.007,1397,345.9364989,341.3754905,0.99,167.2,41.6,26.9,27.3,4.42,1.3,16.65,4.14,15.48,5.25,20.78,0.06,120,30,112,38,0.0,,0.0,REST,19.5,42,654,768,2484,103.5,1.72,0,31.7,0,112,2372,0,4.5,95.5,0.99,0,2.36,3.66,6.02,0.39,0.18,1.0,6,0,0,,10,95.3,0.43,39.57,0.0
11.0,10.93,1.965,21.475,1206,856.9456223,820.0734107,0.96,316.1,90.8,24.2,25.3,10.94,3.1,16.09,4.62,14.97,5.59,20.82,0.05,116,33,108,40,0.0,,0.0,REST,19.5,42,654,768,6112,254.7,4.24,0,78.0,0,897,5214,0,14.7,85.3,0.96,0,2.6,2.89,5.49,0.47,0.17,1.332,5,0,0,,25,89.8,0.76,41.77,0.0
18.0,8.6,1.747,15.017,1541,613.5200818,579.7248521,0.94,279.1,81.6,23.5,24.9,7.83,2.2,15.98,4.67,14.98,5.59,20.81,0.05,115,34,108,40,0.0,,0.0,REST,19.5,42,654,768,4364,181.8,3.03,1,55.7,0,820,3543,0,18.8,81.2,0.94,0,3.95,3.03,6.98,0.57,0.15,1.177,7,0,0,,18,92.9,0.44,41.77,0.0
23.0,11.88,2.645,31.426,1785,1268.7787016,1202.1504345,0.95,424.0,122.7,24.1,25.4,16.19,4.6,16.03,4.64,15.07,5.44,20.81,0.06,116,33,109,39,0.0,,0.0,REST,19.6,42,654,768,9030,376.2,6.27,1,115.2,0,1618,7411,0,17.9,82.1,0.95,0,2.45,2.6,5.05,0.49,0.15,1.497,5,0,0,,37,85.1,1.08,40.79,0.0
27.0,18.63,0.25,4.658,1612,56.0011804,50.5910275,0.9,48.5,3.4,59.9,66.3,0.71,0.2,19.4,1.36,18.37,2.41,20.81,0.06,140,10,132,17,0.0,,0.0,REST,19.6,42,654,768,395,16.4,0.27,1,5.0,0,130,265,0,33.0,67.0,0.9,0,2.37,0.85,3.22,0.74,0.26,0.668,4,0,0,,2,97.8,0.11,21.14,0.0
31.0,12.02,1.818,21.86,666,843.217481,820.1557727,0.97,294.5,83.1,24.9,25.6,10.76,3.1,16.2,4.57,15.22,5.48,20.79,0.08,117,33,110,40,0.0,,0.0,REST,19.6,42,654,768,6035,251.4,4.19,2,77.0,0,563,5471,0,9.3,90.7,0.97,0,1.34,3.65,4.99,0.27,0.16,1.34,4,0,0,,25,89.7,1.36,41.06,0.0
39.0,8.51,1.713,14.579,1503,594.6924227,568.6065369,0.96,273.6,81.0,23.5,24.6,7.59,2.2,15.97,4.73,15.01,5.62,20.81,0.06,115,34,108,41,0.0,,0.0,REST,19.6,42,654,768,4240,176.7,2.94,2,54.1,0,635,3606,0,15.0,85.0,0.96,0,3.86,3.19,7.05,0.55,0.15,1.164,8,0,0,,18,93.1,0.44,41.96,0.0
44.0,10.73,1.545,16.583,1433,638.6477274,599.647362,0.94,251.2,67.8,24.8,26.4,8.15,2.3,16.26,4.39,15.03,5.48,20.81,0.06,117,32,108,40,0.0,,0.0,REST,19.6,42,654,768,4536,189.0,3.15,2,57.9,0,945,3591,0,20.8,79.2,0.94,0,1.98,3.61,5.59,0.35,0.18,1.22,5,0,0,,19,92.2,0.78,41.06,0.0
50.0,10.68,1.527,16.302,1156,664.5164954,617.9447143,0.93,244.2,70.2,23.4,25.2,8.48,2.4,15.99,4.6,14.86,5.59,20.8,0.06,115,33,107,40,0.0,,0.0,REST,19.6,42,654,768,4711,196.3,3.27,3,60.1,0,1127,3584,0,23.9,76.1,0.93,0,1.99,3.63,5.62,0.35,0.16,1.212,6,0,0,,20,92.3,0.77,41.77,0.0
